Alfrocheiro     11
Amaral          60
Aragonez        42
Aramon          67
Baga            36
Bastardo        42
Bonvedro        52
Branjo          37
Cabinda         62
Casculho        48
Cidadelhe       14
Cidreiro        21
Concieira       22
Cornifesto      66
Corropio        24
Corvo           41
Deliciosa       85
Donzelinho      89
Engomada        74
Espadeiro       68
Ferral          60
Galego          33
Grangeal        35
Lourela         22
Lusitano        67
Malandra        84
Malvarisco      15
Marufo          96
Melra           60
Molar           95
Monvedro        72
Moreto          44
Moscatel        11
Mourisco        24
Mulata          24
Nevoeira        67
Padeiro         94
Patorra         21
Pedral          79
Pilongo         41
Ramisco         31
Ricoca          86
Rufete          21
Saborinho       29
Tintinha        12
Touriga         50
Trincadeira     46
Triunfo         77
Varejoa         93
Xara            10
